,0,1,2,3,4,5,6,7,8,9,10,Date
0,11:53 AM,"78 
F","41 
F","27 
%",VAR,"5 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
1,12:53 AM,"63 
F","40 
F","43 
%",S,"6 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
2,2:53 AM,"61 
F","39 
F","44 
%",SSW,"7 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
3,3:53 AM,"60 
F","40 
F","47 
%",SSW,"7 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
4,4:53 AM,"59 
F","40 
F","49 
%",SSW,"6 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
5,5:53 AM,"58 
F","40 
F","51 
%",SW,"5 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
6,6:53 AM,"60 
F","41 
F","49 
%",SSW,"7 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
7,7:53 AM,"64 
F","41 
F","43 
%",SSW,"12 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
8,8:53 AM,"69 
F","39 
F","33 
%",SSW,"9 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
9,9:53 AM,"73 
F","39 
F","29 
%",SSW,"10 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
10,10:53 AM,"76 
F","41 
F","29 
%",SW,"9 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
11,1:53 AM,"62 
F","40 
F","44 
%",S,"5 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Fair,2018-05-08
12,12:53 PM,"79 
F","42 
F","27 
%",CALM,"0 
mph","0 
mph","29.5 
in","0.0 
in","0.0 
in",Fair,2018-05-08
13,1:53 PM,"80 
F","40 
F","24 
%",CALM,"0 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-08
14,2:53 PM,"82 
F","41 
F","23 
%",CALM,"0 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-08
15,3:53 PM,"82 
F","42 
F","24 
%",SSE,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-08
16,4:53 PM,"82 
F","43 
F","25 
%",ESE,"12 
mph","22 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-08
17,5:53 PM,"80 
F","42 
F","26 
%",E,"14 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-08
18,6:53 PM,"77 
F","41 
F","28 
%",E,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-08
19,7:53 PM,"74 
F","41 
F","30 
%",ESE,"7 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-08
20,8:53 PM,"71 
F","41 
F","34 
%",ESE,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-08
21,9:53 PM,"69 
F","42 
F","38 
%",ESE,"8 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-08
22,10:53 PM,"69 
F","44 
F","40 
%",SE,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-08
23,12:53 PM,"78 
F","59 
F","52 
%",SW,"24 
mph","36 
mph","29.1 
in","0.0 
in","0.0 
in",Cloudy / Windy,2018-05-09
24,2:53 AM,"65 
F","42 
F","43 
%",SSE,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
25,4:53 AM,"63 
F","40 
F","43 
%",SSE,"9 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
26,5:53 AM,"65 
F","40 
F","40 
%",SSE,"9 
mph","18 
mph","29.2 
in","0.0 
in","0.0 
in",Cloudy,2018-05-09
27,6:53 AM,"68 
F","41 
F","37 
%",S,"14 
mph","23 
mph","29.2 
in","0.0 
in","0.0 
in",Cloudy,2018-05-09
28,7:16 AM,"69 
F","42 
F","38 
%",SW,"14 
mph","23 
mph","29.2 
in","0.0 
in","0.0 
in",Thunder,2018-05-09
29,7:21 AM,"68 
F","42 
F","39 
%",W,"12 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Thunder,2018-05-09
30,7:53 AM,"60 
F","52 
F","75 
%",SSE,"12 
mph","18 
mph","29.2 
in","0.2 
in","0.0 
in",Heavy T-Storm,2018-05-09
31,8:14 AM,"60 
F","54 
F","80 
%",SE,"15 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Cloudy,2018-05-09
32,8:53 AM,"62 
F","53 
F","72 
%",SE,"17 
mph","24 
mph","29.1 
in","0.0 
in","0.0 
in",Cloudy,2018-05-09
33,9:53 AM,"67 
F","53 
F","61 
%",S,"16 
mph","23 
mph","29.1 
in","0.0 
in","0.0 
in",Cloudy,2018-05-09
34,10:53 AM,"68 
F","54 
F","61 
%",S,"13 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
35,11:53 AM,"73 
F","57 
F","57 
%",S,"13 
mph","21 
mph","29.1 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
36,3:53 AM,"64 
F","40 
F","41 
%",SSE,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
37,1:53 PM,"80 
F","61 
F","52 
%",SSW,"24 
mph","36 
mph","29.0 
in","0.0 
in","0.0 
in",Mostly Cloudy / Windy,2018-05-09
38,2:53 PM,"79 
F","61 
F","54 
%",SSW,"20 
mph","29 
mph","29.0 
in","0.0 
in","0.0 
in",Cloudy,2018-05-09
39,3:53 PM,"82 
F","63 
F","52 
%",SW,"18 
mph","30 
mph","29.0 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
40,4:53 PM,"83 
F","58 
F","42 
%",WSW,"21 
mph","29 
mph","28.9 
in","0.0 
in","0.0 
in",Mostly Cloudy / Windy,2018-05-09
41,5:15 PM,"82 
F","58 
F","44 
%",SW,"20 
mph","33 
mph","28.9 
in","0.0 
in","0.0 
in",Thunder,2018-05-09
42,5:53 PM,"80 
F","59 
F","48 
%",WSW,"18 
mph","33 
mph","28.9 
in","0.0 
in","0.0 
in",Thunder,2018-05-09
43,6:06 PM,"80 
F","57 
F","45 
%",WSW,"22 
mph","33 
mph","28.9 
in","0.0 
in","0.0 
in",Mostly Cloudy / Windy,2018-05-09
44,6:53 PM,"80 
F","59 
F","48 
%",WSW,"16 
mph","25 
mph","29.0 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
45,7:53 PM,"78 
F","58 
F","50 
%",W,"16 
mph","0 
mph","29.0 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-09
46,8:53 PM,"74 
F","57 
F","55 
%",WNW,"20 
mph","25 
mph","29.0 
in","0.0 
in","0.0 
in",Fair,2018-05-09
47,9:53 PM,"72 
F","58 
F","61 
%",W,"12 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Fair,2018-05-09
48,10:53 PM,"69 
F","57 
F","65 
%",WNW,"14 
mph","21 
mph","29.1 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-09
49,11:53 AM,"70 
F","53 
F","55 
%",WNW,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Fair,2018-05-10
50,1:53 AM,"63 
F","55 
F","75 
%",W,"8 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-10
51,3:53 AM,"61 
F","55 
F","81 
%",W,"8 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Fair,2018-05-10
52,4:53 AM,"59 
F","55 
F","87 
%",W,"7 
mph","0 
mph","29.1 
in","0.0 
in","0.0 
in",Fair,2018-05-10
53,5:53 AM,"59 
F","55 
F","87 
%",W,"8 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Fair,2018-05-10
54,6:53 AM,"60 
F","55 
F","83 
%",W,"9 
mph","0 
mph","29.2 
in","0.0 
in","0.2 
in",Fair,2018-05-10
55,7:53 AM,"62 
F","54 
F","75 
%",NW,"12 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-05-10
