,Accommodation,City Life,Clubs and Societies,Course and Lecturers,Facilities,Job Prospects,OVERALL UNIVERSITY RATING,Student Support,Students' Union,Uni Facilities,_id,college,date
0,3.8051192553810353,3.0,3.0,3,4.005865102639296,4.0,3,3,4.0,4.0,5c75db20c0bfe17384b4d259,"Northumbria University, Newcastle",Feb 19
1,3.8051192553810353,4.0,3.0,4,4.005865102639296,4.0,4,5,4.0,3.0,5c75db20c0bfe17384b4d262,University of Cumbria,Feb 19
2,3.8051192553810353,4.0,5.0,3,4.005865102639296,3.0,4,3,3.0,3.0,5c75db20c0bfe17384b4d26b,"Northumbria University, Newcastle",Feb 19
3,3.8051192553810353,2.0,4.0,3,4.005865102639296,2.0,4,1,5.0,4.0,5c75db20c0bfe17384b4d274,University of Hull,Feb 19
4,3.8051192553810353,3.0,3.0,4,4.005865102639296,4.0,4,3,2.0,4.0,5c75db20c0bfe17384b4d27d,"Northumbria University, Newcastle",Feb 19
5,5.0,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db20c0bfe17384b4d287,"Northumbria University, Newcastle",Feb 19
6,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db20c0bfe17384b4d290,University of Hull,Feb 19
7,3.0,3.0,4.0,3,4.005865102639296,5.0,4,2,2.0,4.0,5c75db20c0bfe17384b4d29a,Lancaster University,Feb 19
8,3.8051192553810353,4.1052366565961735,3.7542785366619564,4,3.0,4.0,4,3,3.7063261752756818,4.059789829689576,5c75db20c0bfe17384b4d2a0,Plumpton College,Feb 19
9,4.0,1.0,4.0,2,4.005865102639296,3.0,5,5,2.0,5.0,5c75db20c0bfe17384b4d2aa,Lancaster University,Feb 19
10,4.0,4.0,3.0,4,4.005865102639296,4.0,4,4,5.0,4.0,5c75db23c0bfe17384b4d2b4,"Northumbria University, Newcastle",Feb 19
11,5.0,5.0,4.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db23c0bfe17384b4d2be,Swansea University,Feb 19
12,3.8051192553810353,4.0,3.7542785366619564,3,4.005865102639296,3.0,2,2,2.0,3.0,5c75db23c0bfe17384b4d2c7,"Northumbria University, Newcastle",Feb 19
13,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.0,5.0,5c75db23c0bfe17384b4d2d0,ACM (The Academy of Contemporary Music),Feb 19
14,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db23c0bfe17384b4d2d9,ACM (The Academy of Contemporary Music),Feb 19
15,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.005865102639296,5.0,5,5,4.0,5.0,5c75db23c0bfe17384b4d2e2,ACM (The Academy of Contemporary Music),Feb 19
16,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.005865102639296,4.087822435512898,5,5,3.7063261752756818,5.0,5c75db23c0bfe17384b4d2eb,ACM (The Academy of Contemporary Music),Feb 19
17,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db23c0bfe17384b4d2f4,ACM (The Academy of Contemporary Music),Feb 19
18,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db23c0bfe17384b4d2fd,ACM (The Academy of Contemporary Music),Feb 19
19,2.0,4.1052366565961735,3.7542785366619564,3,4.005865102639296,3.0,4,5,3.0,4.0,5c75db23c0bfe17384b4d307,Lancaster University,Feb 19
20,3.8051192553810353,5.0,2.0,4,4.005865102639296,3.0,5,4,3.0,5.0,5c75db25c0bfe17384b4d310,University of Hull,Feb 19
21,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,4.0,5c75db25c0bfe17384b4d319,Lancaster University,Feb 19
22,3.8051192553810353,5.0,3.7542785366619564,4,4.005865102639296,4.0,4,5,3.7063261752756818,3.0,5c75db25c0bfe17384b4d320,Point Blank Music School,Feb 19
23,4.0,5.0,5.0,3,4.005865102639296,4.0,5,5,5.0,5.0,5c75db25c0bfe17384b4d32a,Loughborough University,Feb 19
24,3.8051192553810353,5.0,4.0,4,4.005865102639296,5.0,4,4,4.0,4.0,5c75db25c0bfe17384b4d333,"Northumbria University, Newcastle",Feb 19
25,3.8051192553810353,3.0,3.0,4,4.005865102639296,4.0,4,5,3.0,4.0,5c75db25c0bfe17384b4d33c,Bridgend College,Feb 19
26,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.005865102639296,4.087822435512898,5,5,3.7063261752756818,5.0,5c75db25c0bfe17384b4d345,ACM (The Academy of Contemporary Music),Feb 19
27,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db25c0bfe17384b4d34e,ACM (The Academy of Contemporary Music),Feb 19
28,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db25c0bfe17384b4d357,ACM (The Academy of Contemporary Music),Feb 19
29,3.8051192553810353,4.1052366565961735,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db25c0bfe17384b4d360,ACM (The Academy of Contemporary Music),Feb 19
30,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db28c0bfe17384b4d369,ACM (The Academy of Contemporary Music),Feb 19
31,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db28c0bfe17384b4d372,ACM (The Academy of Contemporary Music),Feb 19
32,2.0,3.0,3.7542785366619564,3,4.005865102639296,3.0,2,1,2.0,1.0,5c75db28c0bfe17384b4d37c,Bangor University,Feb 19
33,3.8051192553810353,5.0,5.0,5,4.005865102639296,4.0,5,5,5.0,5.0,5c75db28c0bfe17384b4d385,University of Glasgow,Feb 19
34,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db28c0bfe17384b4d38e,Swansea University,Feb 19
35,3.8051192553810353,4.0,5.0,3,4.005865102639296,2.0,3,4,4.0,4.0,5c75db28c0bfe17384b4d397,Lancaster University,Feb 19
36,4.0,4.0,4.0,2,4.005865102639296,4.0,3,2,3.7063261752756818,4.0,5c75db28c0bfe17384b4d3a1,Edge Hill University,Feb 19
37,3.8051192553810353,5.0,1.0,4,4.005865102639296,5.0,5,4,3.0,4.0,5c75db28c0bfe17384b4d3aa,"Northumbria University, Newcastle",Feb 19
38,4.0,4.1052366565961735,5.0,5,4.005865102639296,4.087822435512898,5,5,5.0,5.0,5c75db28c0bfe17384b4d3b4,Lancaster University,Feb 19
39,3.8051192553810353,4.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db28c0bfe17384b4d3bd,Swansea University,Feb 19
40,3.8051192553810353,4.0,5.0,5,4.005865102639296,5.0,5,5,3.0,4.0,5c75db2bc0bfe17384b4d3c6,University of Glasgow,Feb 19
41,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,3,3.7063261752756818,5.0,5c75db2bc0bfe17384b4d3cf,University of Glasgow,Feb 19
42,1.0,3.0,3.0,2,4.005865102639296,4.0,2,3,2.0,4.0,5c75db2bc0bfe17384b4d3d9,Edge Hill University,Feb 19
43,3.0,5.0,5.0,3,4.005865102639296,3.0,3,4,4.0,2.0,5c75db2bc0bfe17384b4d3e3,Edge Hill University,Feb 19
44,5.0,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2bc0bfe17384b4d3ed,ACM (The Academy of Contemporary Music),Feb 19
45,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2bc0bfe17384b4d3f6,ACM (The Academy of Contemporary Music),Feb 19
46,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2bc0bfe17384b4d3ff,ACM (The Academy of Contemporary Music),Feb 19
47,5.0,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2bc0bfe17384b4d409,ACM (The Academy of Contemporary Music),Feb 19
48,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2bc0bfe17384b4d412,ACM (The Academy of Contemporary Music),Feb 19
49,5.0,4.0,5.0,5,4.005865102639296,4.0,5,5,5.0,5.0,5c75db2bc0bfe17384b4d41c,Lancaster University,Feb 19
50,3.8051192553810353,5.0,5.0,4,4.005865102639296,4.0,4,4,3.7063261752756818,5.0,5c75db2dc0bfe17384b4d425,"Northumbria University, Newcastle",Feb 19
51,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2dc0bfe17384b4d42e,ACM (The Academy of Contemporary Music),Feb 19
52,3.8051192553810353,5.0,3.7542785366619564,5,4.005865102639296,5.0,5,5,3.7063261752756818,5.0,5c75db2dc0bfe17384b4d435,BIMM,Feb 19
53,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2dc0bfe17384b4d43e,ACM (The Academy of Contemporary Music),Feb 19
54,3.8051192553810353,5.0,5.0,5,4.005865102639296,5.0,5,5,5.0,5.0,5c75db2dc0bfe17384b4d447,ACM (The Academy of Contemporary Music),Feb 19
